1,3579, 
2,1168,
3,622,
4,610,
5,593,
6,575,
7,522,
8,475,
9,449,
10,414,
11,383,
12,358,
13,354,
14,312,
15,306,
16,282,
17,280,
18,267,
19,263,
20,258,
21,246,
22,229,
23,209,
24,193,
25,191,
26,183,
27,177,
28,170,
29,165,
30,157,
31,156,
32,155,
33,151,
34,146,
35,144,
36,137,
37,136,
38,134,
39,129,
40,128,
41,124,
42,121,
43,120,
44,119,
45,118,
46,112,
47,110,
48,109,
49,105,
50,103,
51,99,
52,98,
53,97,
54,90,
55,90,
56,88,
57,87,
58,87,
59,86,
60,86,
61,84,
62,83,
63,80,
64,79,
65,78,
66,76,
67,75,
68,72,
69,71,
70,69,
71,68,
72,68,
73,68,
74,67,
75,67,
76,67,
77,67,
78,66,
79,65,
80,65,
81,65,
82,62,
83,61,
84,61,
85,60,
86,59,
87,57,
88,57,
89,55,
90,54,
91,54,
92,53,
93,50,
94,50,
