Chiroptera,Phyllostomidae,21,0.19
Chiroptera,Phyllostomidae,21.9,0.297
Chiroptera,Phyllostomidae,20.5,0.223
Chiroptera,Phyllostomidae,27.4,0.307
Chiroptera,Phyllostomidae,16.2,0.176
Chiroptera,Phyllostomidae,8.8,0.104
Chiroptera,Pteropodidae,37,0.26
Chiroptera,Pteropodidae,37.4,0.265
Chiroptera,Pteropodidae,73.7,0.415
Chiroptera,Pteropodidae,87,0.612
Chiroptera,Pteropodidae,241.4,0.971
Chiroptera,Pteropodidae,404.3,2.052
Chiroptera,Pteropodidae,179.5,0.795
Chiroptera,Pteropodidae,51.6,0.268
Chiroptera,Pteropodidae,15.9,0.103
Chiroptera,Pteropodidae,12.4,0.121
Chiroptera,Pteropodidae,53.3,0.242
Chiroptera,Pteropodidae,28.2,0.225
Chiroptera,Pteropodidae,30.9,0.152
Chiroptera,Pteropodidae,40.4,0.36
Chiroptera,Pteropodidae,13.6,0.114
Chiroptera,Pteropodidae,21.3,0.17
Chiroptera,Pteropodidae,23.6,0.137
Chiroptera,Pteropodidae,562.2,1.622
Chiroptera,Pteropodidae,520.8,1.618
Chiroptera,Pteropodidae,598,1.768
Chiroptera,Pteropodidae,194.2,0.705
Chiroptera,Pteropodidae,254.5,0.753
Chiroptera,Pteropodidae,362,1.353
Chiroptera,Pteropodidae,1024.3,4.486
Chiroptera,Pteropodidae,146,0.684
Chiroptera,Pteropodidae,91.5,0.582
Chiroptera,Pteropodidae,15.9,0.122
Chiroptera,Pteropodidae,17.5,0.188
Chiroptera,Rhinolophidae,8.5,0.05
Chiroptera,Vespertilionida,22,0.104
Chiroptera,Vespertilionida,17.5,0.141
Chiroptera,Vespertilionida,10.4,0.116
Chiroptera,Vespertilionida,16.9,0.11
Chiroptera,Vespertilionida,11.2,0.088
Chiroptera,Vespertilionida,10.91,0.145
Chiroptera,Vespertilionida,5.2,0.05
Chiroptera,Vespertilionida,6.5,0.052
Chiroptera,Vespertilionida,3.7,0.027
Chiroptera,Vespertilionida,11.89,0.04
Chiroptera,Vespertilionida,25,0.199
Chiroptera,Vespertilionida,5,0.047
Chiroptera,Vespertilionida,8,0.062
Chiroptera,Vespertilionida,10.25,0.082
Dasyuromorpha,Caluromyidae,329,1.255
Dasyuromorpha,Caluromyidae,357,1.135
Dasyuromorpha,Dasyuridae,46.5,0.252
Dasyuromorpha,Dasyuridae,22.1,0.19
Dasyuromorpha,Dasyuridae,28.2,0.189
Dasyuromorpha,Dasyuridae,66.9,0.351
Dasyuromorpha,Dasyuridae,89,0.44
Dasyuromorpha,Dasyuridae,91.7,0.4
Dasyuromorpha,Dasyuridae,103.5,0.456
Dasyuromorpha,Dasyuridae,118.2,0.462
Dasyuromorpha,Dasyuridae,86,0.24
Dasyuromorpha,Dasyuridae,88.8,0.26
Dasyuromorpha,Dasyuridae,89,0.258
Dasyuromorpha,Dasyuridae,101,0.285
Dasyuromorpha,Dasyuridae,1300,2.82
Dasyuromorpha,Dasyuridae,1354,3.172
Dasyuromorpha,Dasyuridae,558,1.356
Dasyuromorpha,Dasyuridae,584.4,1.663
Dasyuromorpha,Dasyuridae,1782,3.01
Dasyuromorpha,Dasyuridae,1782,3.281
Dasyuromorpha,Dasyuridae,909.9,2.31
Dasyuromorpha,Dasyuridae,982,2.21
Dasyuromorpha,Dasyuridae,11.6,0.088
Dasyuromorpha,Dasyuridae,147,0.664
Dasyuromorpha,Dasyuridae,157,0.71
Dasyuromorpha,Dasyuridae,157.2,0.71
Dasyuromorpha,Dasyuridae,8.9,0.071
Dasyuromorpha,Dasyuridae,9.1,0.039
Dasyuromorpha,Dasyuridae,9.4,0.07
Dasyuromorpha,Dasyuridae,7.1,0.063
Dasyuromorpha,Dasyuridae,10.8,0.067
Dasyuromorpha,Dasyuridae,8.5,0.06
Dasyuromorpha,Dasyuridae,13.1,0.074
Dasyuromorpha,Dasyuridae,7.1,0.063
Dasyuromorpha,Dasyuridae,43.1,0.152
Dasyuromorpha,Dasyuridae,5775,7.394
Dasyuromorpha,Dasyuridae,6500,10.153
Dasyuromorpha,Dasyuridae,14.1,0.11
Dasyuromorpha,Dasyuridae,15.9,0.114
Dasyuromorpha,Dasyuridae,16.4,0.14
Dasyuromorpha,Dasyuridae,17.7,0.123
Dasyuromorpha,Dasyuridae,24.2,0.132
Dasyuromorpha,Dasyuridae,25.8,0.141
Dasyuromorpha,Dasyuridae,27.4,0.15
Dasyuromorpha,Dasyuridae,19.35,0.126
Dasyuromorpha,Dasyuridae,22,0.131
Dasyuromorpha,Dasyuridae,12.9,0.114
Dasyuromorpha,Dasyuridae,19,0.12
Dasyuromorpha,Didelphidae,935,2.549
Dasyuromorpha,Didelphidae,946,3.061
Dasyuromorpha,Didelphidae,1165,3.185
Dasyuromorpha,Didelphidae,1329,3.44
Dasyuromorpha,Didelphidae,2488,4.641
Dasyuromorpha,Didelphidae,3257,6.05
Dasyuromorpha,Didelphidae,812,2.265
Dasyuromorpha,Didelphidae,751,1.886
Dasyuromorpha,Marmosidae,13,0.106
Dasyuromorpha,Marmosidae,122,0.547
Dasyuromorpha,Marmosidae,336,1.144
Dasyuromorpha,Marmosidae,75.5,0.318
Dasyuromorpha,Marmosidae,111,0.421
Dasyuromorpha,Marmosidae,104,0.335
